ds,yhat,yhat_lower,yhat_upper
2023-01-01,6259618.1794375265,5779689.590412564,6735512.562953501
2023-02-01,6133005.155021294,5623656.256654882,6578617.903051807
2023-03-01,7983997.610969434,7513311.988070109,8442710.657427084
2023-04-01,9077708.143608227,8608536.306873538,9547958.062256372
2023-05-01,11243158.288425265,10752460.095087878,11727247.635492437
2023-06-01,13082004.42365534,12627803.114002103,13550448.381923495
2023-07-01,13112522.656663833,12645255.44565346,13612940.941570848
2023-08-01,13626212.025650244,13186722.396044929,14111007.12834227
2023-09-01,11786577.832232822,11339946.354021888,12296247.026608897
2023-10-01,11050431.813706491,10571522.748568457,11524463.67403747
2023-11-01,8562028.225591637,8064363.387977974,9034956.520158721
2023-12-01,7329770.656601807,6843025.280057775,7768241.1893458
2024-01-01,7075351.948720782,6606022.432494481,7581482.519428324
2024-02-01,6924698.28631865,6428716.85955196,7401620.812394287
2024-03-01,8621226.753558017,8148145.4222480925,9097172.18810975
2024-04-01,10738623.276146801,10246762.522720566,11208798.440586632
2024-05-01,12901737.16750824,12413705.225797242,13416940.95832774
2024-06-01,13355164.474531524,12877225.56979284,13868116.671960806
2024-07-01,15357254.856865339,14843829.002873864,15856598.39855667
2024-08-01,13876586.091547942,13440312.725891996,14339352.914387666
2024-09-01,13383511.62943218,12921147.308394426,13857899.753461313
2024-10-01,11946722.414075691,11526605.876752362,12427907.533177283
2024-11-01,8994648.500367593,8508977.566257434,9477465.354219915
2024-12-01,8315083.617957779,7838856.388044933,8785953.921200065
2025-01-01,7459333.341805953,6979026.534568719,7908380.476895618
2025-02-01,7226080.066485732,6751491.274742723,7740218.2032023305
2025-03-01,9360736.784174804,8878230.71338893,9897179.71393106
2025-04-01,11291780.486175576,10765159.29419214,11768144.138035053
2025-05-01,13667614.487118311,13159258.312417736,14158965.044278203
2025-06-01,14772378.178293785,14310422.729198229,15233803.58386612
2025-07-01,16274519.794600585,15782487.673028693,16734689.788290935
2025-08-01,15456280.704257961,14980755.302819446,15947566.368104924
2025-09-01,14419704.311246078,13926000.935402105,14904661.897556096
2025-10-01,13114972.0471492,12621556.022083137,13608310.717117125
2025-11-01,10002766.059908079,9535020.002010228,10459683.477598757
2025-12-01,9039795.289486244,8568896.557061244,9491676.205791213
2026-01-01,8329467.332149946,7860649.10927661,8799855.320841562
2026-02-01,8130436.514029071,7681298.420015918,8601723.14646611
2026-03-01,10578645.22808881,10117743.09257449,11036739.835887985
2026-04-01,12410667.51199662,11975574.522832809,12868305.208596772
2026-05-01,15211706.985504244,14737135.833351098,15743466.962195808
2026-06-01,17053953.312703986,16582324.864863541,17528039.76886075
2026-07-01,17905934.864149448,17440550.604642987,18356633.819979902
2026-08-01,17775069.763224907,17315194.491427712,18264198.064090565
2026-09-01,15954991.575528888,15475267.433045056,16434113.197738877
2026-10-01,14717842.797170963,14227242.53219133,15197630.84586286
2026-11-01,11307641.008241724,10881164.126872728,11790627.881920544
2026-12-01,9939460.447107289,9452336.226061177,10397022.763855802
