ds,y
2023-01-01,6075996.39
2023-02-01,5768759.63
2023-03-01,8017536.6
2023-04-01,8970716.56
2023-05-01,11680754.74
2023-06-01,12703456.19
2023-07-01,13069324.02
2023-08-01,13845154.8
2023-09-01,11671614.83
2023-10-01,11156556.67
2023-11-01,8764563.26
2023-12-01,7311998.73
2024-01-01,7343537.73
2024-02-01,7171169.37
2024-03-01,8657275.78
2024-04-01,10550193.44
2024-05-01,13239900.51
2024-06-01,13326966.56
2024-07-01,15254520.9
2024-08-01,14204600.1
2024-09-01,13029328.23
2024-10-01,11934099.76
2024-11-01,9134640.33
2024-12-01,8048198.25
2025-01-01,7600599.83
2025-02-01,7220528.3
2025-03-01,9250532.89
2025-04-01,11535478.88
2025-05-01,13430534.1
2025-06-01,14529636.68
2025-07-01,16407101.9
2025-08-01,14971919.94
2025-09-01,14841586.6
2025-10-01,13038823.62
2025-11-01,9707137.28
2025-12-01,9297830.12
2026-01-01,8116545.46
2026-02-01,8203520.82
2026-03-01,10624399.62
2026-04-01,12431700.16
2026-05-01,14817058.12
2026-06-01,17577387.6
