shipment_id,carrier_id,mode,distance_km,chargeable_weight_kg,total_cost_usd,costo_predicho,residual,sobrecosto_pct
SHP1057124,C022,Air,3028.8,4488.8,72710.22,52676.900499999996,20033.319500000005,38.03055857472101
SHP1044523,C023,Air,4430.1,2919.9,96732.12,79424.84900000007,17307.27099999992,21.79075090215142
SHP1215169,C022,Air,4435.0,2110.2,52633.36,38121.59250000001,14511.767499999987,38.06705478004358
SHP1143183,C023,Air,4144.9,2040.1,45063.31,30945.996200000005,14117.313799999993,45.61919321892759
SHP1102678,C022,Air,1916.0,2965.6,34075.61,20625.06189999999,13450.54810000001,65.21458294386994
SHP1170165,C023,Air,2972.3,2679.0,44320.81,31340.446600000014,12980.363399999984,41.41728918438571
SHP1072198,C022,Air,3419.6,2190.1,43614.18,31980.9081,11633.2719,36.37567721224276
SHP1044504,C023,Air,4696.4,3356.2,102160.4,90860.93750000012,11299.462499999878,12.435995941600165
SHP1101202,C009,LTL,3492.2,6000.0,21174.05,10113.168105275401,11060.881894724598,109.37108707759774
SHP1116178,C023,Air,2794.3,2665.5,34928.32,25037.12830000002,9891.191699999981,39.50609503406975
SHP1006046,C022,Air,2850.6,2382.4,36733.42,26912.384299999998,9821.0357,36.492625813165134
SHP1127862,C023,Air,2480.7,3614.4,56248.81,47371.59259999999,8877.217400000009,18.739537585232064
SHP1138558,C022,Air,4746.1,2066.3,59521.72,50690.57580000002,8831.14419999998,17.421668743403735
SHP1198423,C022,Air,1970.6,3000.0,31816.83,23144.837100000008,8671.992899999994,37.46836870154507
SHP1136688,C022,Air,3526.9,3670.8,71878.41,63352.40830000007,8526.001699999935,13.458054600901297
SHP1023061,C022,Air,5044.1,626.2,20373.84,12187.36585000001,8186.474149999991,67.17180932087949
SHP1181518,C023,Air,4409.5,2935.5,73821.05,65812.76259999994,8008.287400000059,12.168289376747826
SHP1089542,C022,Air,4640.9,1002.3,25803.7,17820.57432333331,7983.125676666692,44.797241277538475
SHP1025337,C011,LTL,4096.7,6000.0,21241.09,13280.842156841492,7960.247843158508,59.93782434239583
SHP1013742,C022,Air,2849.0,2305.3,33910.04,26043.01534000002,7867.024659999981,30.20781026042269
