variable,importancia
chargeable_weight_kg,0.5042485987111793
distance_km,0.24867219279337727
mode_Air,0.1784456150792271
mode_Ocean,0.022330889521784105
weight_kg,0.009128761802957987
volume_cbm,0.007168067413319298
mode_LTL,0.0034935856068814587
pallets,0.003197784613367764
mode_TL,0.0017837839635110285
carrier_id_C006,0.0013753438517488357
cross_border_flag_0,0.0013503310138468232
mode_Drayage,0.0012347168492349895
business_unit_Industrial,0.0012258721160594663
business_unit_Communications,0.0011738662461361748
cross_border_flag_1,0.0009471753343361576
