carrier_id,costo_prom_embarque,costo_prom_kg,peso_total,pct_a_tiempo,pct_danados,num_embarques,grupo
C001,4290.29,0.37,73272711.1,86.31,1.24,6353,3
C002,4080.15,0.35,42966515.3,88.59,1.26,3726,3
C003,4353.21,0.38,214795438.0,85.8,1.62,18612,2
C004,4471.38,0.39,61116654.0,88.84,1.32,5286,3
C005,3809.41,0.33,11332264.5,79.59,1.73,980,0
C006,3649.13,0.32,65316338.2,74.71,2.02,5655,0
C007,3815.91,0.33,9432870.2,82.46,1.83,821,3
C008,3722.83,0.34,694264.3,76.19,3.17,63,0
C009,1615.78,1.62,10672389.1,89.72,1.14,10676,3
C010,1454.92,1.46,5982874.0,85.92,1.25,6008,3
C011,1460.22,1.44,13066129.8,83.57,1.39,12905,3
C012,1467.06,1.46,11627413.0,84.44,1.36,11594,3
C013,1350.92,1.4,43356.2,71.11,4.44,45,0
C014,1221.22,1.21,7175047.8,75.55,1.94,7103,0
C015,1546.0,1.54,4198816.5,85.7,0.74,4188,3
C016,316.73,18.07,258879.4,89.6,1.23,14772,1
C017,311.39,17.48,402160.3,89.02,1.75,22577,1
C018,307.95,17.53,413697.6,87.86,1.73,23552,1
C019,285.87,16.12,329842.8,79.68,2.56,18595,1
C020,264.68,15.2,10659.7,81.37,2.78,612,1
C021,305.3,17.44,65596.0,85.27,1.84,3748,1
C022,4422.83,11.27,2899154.5,88.65,1.22,7390,3
C023,4276.02,10.48,2956675.1,86.16,1.13,7247,3
C024,3977.65,10.02,216455.7,82.57,1.1,545,3
C025,4850.23,0.31,224189856.5,67.64,1.23,14312,2
C026,4664.64,0.3,30078678.8,59.95,0.94,1915,0
C027,4941.07,0.31,13100158.6,68.31,0.84,830,0
C028,4651.56,0.29,4841996.3,58.5,0.65,306,0
C029,4329.07,0.31,112549181.2,81.63,1.34,8155,3
C030,3686.65,0.27,7594398.9,72.5,1.09,549,0
